Variable Values			
Question		Value	Label
C1a5	( C1a) C1a.過去一年內，請問您有使用下列哪些「內容管道／平台」收看影視內容（含新聞、影劇、綜藝、體育、卡通／動畫等）？（可複選）: C5 - 一般網站	0	No
	#N/A	1	Yes
C1a9	( C1a) C1a.過去一年內，請問您有使用下列哪些「內容管道／平台」收看影視內容（含新聞、影劇、綜藝、體育、卡通／動畫等）？（可複選）: C99 - 幾乎不看影視節目	0	No
	#N/A	1	Yes
C1001	( C10) C10.請問您過去一年有使用哪些「裝置／電器」收看影視內容？（可複選）: C1 - 傳統電視（沒有內建聯網功能）	0	No
	#N/A	1	Yes
C1002	( C10) C10.請問您過去一年有使用哪些「裝置／電器」收看影視內容？（可複選）: C2 - 智慧型（連網）電視（內建Smart系統網路電視）	0	No
	#N/A	1	Yes
C1003	( C10) C10.請問您過去一年有使用哪些「裝置／電器」收看影視內容？（可複選）: C3 - 多媒體網路電視盒／棒（如小米盒子、Apple TV等，不包含第四台有線電視數位機上盒）	0	No
	#N/A	1	Yes
C1004	( C10) C10.請問您過去一年有使用哪些「裝置／電器」收看影視內容？（可複選）: C4 - 桌上型電腦	0	No
	#N/A	1	Yes
C1005	( C10) C10.請問您過去一年有使用哪些「裝置／電器」收看影視內容？（可複選）: C5 - 筆記型電腦	0	No
	#N/A	1	Yes
C1006	( C10) C10.請問您過去一年有使用哪些「裝置／電器」收看影視內容？（可複選）: C6 - 平板	0	No
	#N/A	1	Yes
C1007	( C10) C10.請問您過去一年有使用哪些「裝置／電器」收看影視內容？（可複選）: C7 - 手機	0	No
	#N/A	1	Yes
C1008	( C10) C10.請問您過去一年有使用哪些「裝置／電器」收看影視內容？（可複選）: C8 - 遊戲主機（如PS5、Switch、Xbox等）	0	No
	#N/A	1	Yes
C1009	( C10) C10.請問您過去一年有使用哪些「裝置／電器」收看影視內容？（可複選）: C101 - 其他－投影機	0	No
	#N/A	1	Yes
C1010	( C10) C10.請問您過去一年有使用哪些「裝置／電器」收看影視內容？（可複選）: C98 - 其他	0	No
	#N/A	1	Yes
C10a01	( C10a) C10a.請問您過去一年有使用哪些「裝置／電器」收看網路影視串流平台OTT（如 Netflix、YouTube付費 Premium、Disney+、Hami Video、MyVideo、friDay影音等）？（可複選）: C1 - 傳統電視（沒有內建聯網功能）	0	No
	#N/A	1	Yes
C10a02	( C10a) C10a.請問您過去一年有使用哪些「裝置／電器」收看網路影視串流平台OTT（如 Netflix、YouTube付費 Premium、Disney+、Hami Video、MyVideo、friDay影音等）？（可複選）: C2 - 智慧型（連網）電視（內建Smart系統網路電視）	0	No
	#N/A	1	Yes
C10a03	( C10a) C10a.請問您過去一年有使用哪些「裝置／電器」收看網路影視串流平台OTT（如 Netflix、YouTube付費 Premium、Disney+、Hami Video、MyVideo、friDay影音等）？（可複選）: C3 - 多媒體網路電視盒／棒（如小米盒子、Apple TV等，不包含第四台有線電視數位機上盒）	0	No
	#N/A	1	Yes
C10a04	( C10a) C10a.請問您過去一年有使用哪些「裝置／電器」收看網路影視串流平台OTT（如 Netflix、YouTube付費 Premium、Disney+、Hami Video、MyVideo、friDay影音等）？（可複選）: C4 - 桌上型電腦	0	No
	#N/A	1	Yes
C10a05	( C10a) C10a.請問您過去一年有使用哪些「裝置／電器」收看網路影視串流平台OTT（如 Netflix、YouTube付費 Premium、Disney+、Hami Video、MyVideo、friDay影音等）？（可複選）: C5 - 筆記型電腦	0	No
	#N/A	1	Yes
C10a06	( C10a) C10a.請問您過去一年有使用哪些「裝置／電器」收看網路影視串流平台OTT（如 Netflix、YouTube付費 Premium、Disney+、Hami Video、MyVideo、friDay影音等）？（可複選）: C6 - 平板	0	No
	#N/A	1	Yes
C10a07	( C10a) C10a.請問您過去一年有使用哪些「裝置／電器」收看網路影視串流平台OTT（如 Netflix、YouTube付費 Premium、Disney+、Hami Video、MyVideo、friDay影音等）？（可複選）: C7 - 手機	0	No
	#N/A	1	Yes
C10a08	( C10a) C10a.請問您過去一年有使用哪些「裝置／電器」收看網路影視串流平台OTT（如 Netflix、YouTube付費 Premium、Disney+、Hami Video、MyVideo、friDay影音等）？（可複選）: C8 - 遊戲主機（如PS5、Switch、Xbox等）	0	No
	#N/A	1	Yes
C10a09	( C10a) C10a.請問您過去一年有使用哪些「裝置／電器」收看網路影視串流平台OTT（如 Netflix、YouTube付費 Premium、Disney+、Hami Video、MyVideo、friDay影音等）？（可複選）: C101 - 其他－投影機	0	No
	#N/A	1	Yes
C10a10	( C10a) C10a.請問您過去一年有使用哪些「裝置／電器」收看網路影視串流平台OTT（如 Netflix、YouTube付費 Premium、Disney+、Hami Video、MyVideo、friDay影音等）？（可複選）: C98 - 其他	0	No
	#N/A	1	Yes
C2_C1_slice	( C2[{C1}].slice) 無線／有線電視頻道 :	1	平均一個月看不到一次
	#N/A	2	平均每天30分鐘及以內
	#N/A	3	平均每天31~59分鐘
	#N/A	4	平均每天1小時~1小時59分
	#N/A	5	平均每天2小時~2小時59分
	#N/A	6	平均每天3小時~3小時59分
	#N/A	7	平均每天4小時~4小時59分
	#N/A	8	平均每天5小時~5小時59分
	#N/A	9	平均每天6小時（含）以上
C2_C2_slice	( C2[{C2}].slice) MOD（電視頻道組合） :	1	平均一個月看不到一次
	#N/A	2	平均每天30分鐘及以內
	#N/A	3	平均每天31~59分鐘
	#N/A	4	平均每天1小時~1小時59分
	#N/A	5	平均每天2小時~2小時59分
	#N/A	6	平均每天3小時~3小時59分
	#N/A	7	平均每天4小時~4小時59分
	#N/A	8	平均每天5小時~5小時59分
	#N/A	9	平均每天6小時（含）以上
C2_C3_slice	( C2[{C3}].slice) 社群網路平台（如Facebook、TikTok抖音、YouTube免費版等） :	1	平均一個月看不到一次
	#N/A	2	平均每天30分鐘及以內
	#N/A	3	平均每天31~59分鐘
	#N/A	4	平均每天1小時~1小時59分
	#N/A	5	平均每天2小時~2小時59分
	#N/A	6	平均每天3小時~3小時59分
	#N/A	7	平均每天4小時~4小時59分
	#N/A	8	平均每天5小時~5小時59分
	#N/A	9	平均每天6小時（含）以上
C2_C4_slice	( C2[{C4}].slice) 網路影視串流平台OTT（ 如Netflix、YouTube付費 Premium、Disney+、Hami Video、MyVideo、friDay影音等） :	1	平均一個月看不到一次
	#N/A	2	平均每天30分鐘及以內
	#N/A	3	平均每天31~59分鐘
	#N/A	4	平均每天1小時~1小時59分
	#N/A	5	平均每天2小時~2小時59分
	#N/A	6	平均每天3小時~3小時59分
	#N/A	7	平均每天4小時~4小時59分
	#N/A	8	平均每天5小時~5小時59分
	#N/A	9	平均每天6小時（含）以上
C2_C5_slice	( C2[{C5}].slice) 一般網站 :	1	平均一個月看不到一次
	#N/A	2	平均每天30分鐘及以內
	#N/A	3	平均每天31~59分鐘
	#N/A	4	平均每天1小時~1小時59分
	#N/A	5	平均每天2小時~2小時59分
	#N/A	6	平均每天3小時~3小時59分
	#N/A	7	平均每天4小時~4小時59分
	#N/A	8	平均每天5小時~5小時59分
	#N/A	9	平均每天6小時（含）以上
C3_C1_slice01	( C3[{C1}].slice) 無線／有線電視頻道 : : C1 - 新聞報導	0	No
	#N/A	1	Yes
C3_C1_slice02	( C3[{C1}].slice) 無線／有線電視頻道 : : C2 - 實境綜藝（如開店、露營、寵物等）／闖關比賽／戶外實境節目	0	No
	#N/A	1	Yes
C3_C1_slice03	( C3[{C1}].slice) 無線／有線電視頻道 : : C3 - 電影	0	No
	#N/A	1	Yes
C3_C1_slice04	( C3[{C1}].slice) 無線／有線電視頻道 : : C4 - 影集／連續劇	0	No
	#N/A	1	Yes
C3_C1_slice05	( C3[{C1}].slice) 無線／有線電視頻道 : : C5 - 旅遊／文化風俗節目	0	No
	#N/A	1	Yes
C3_C1_slice06	( C3[{C1}].slice) 無線／有線電視頻道 : : C6 - 唱歌／音樂節目	0	No
	#N/A	1	Yes
